landplay 157.62.215.234 0
pvpplay 57.134.12.49 1
islandpvp 59.41.79.186 1
craftsurvival 25.245.253.212 0
craftpixel 82.18.137.234 1
landmine 193.213.197.115 0
minefun 72.18.191.144 0
survivalcraft 50.129.120.247 1
pixelpvp 116.95.154.200 1
minepixel 120.207.74.179 1
islandfun 31.198.168.16 1
craftfun 164.114.163.6 1
funmine 10.115.76.87 0
playpixel 134.120.182.40 0
landpvp 221.55.142.227 0
pvpfun 34.178.95.200 0
craftplay 249.167.127.229 0
pixelland 233.248.68.180 1
pixelfun 201.11.114.124 1
survivalpvp 228.217.144.26 0
