00, ,<,01
01,0,<,01
01,1,<,01
01,2,<,01
01,3,<,01
01,4,<,01
01,5,<,01
01,6,<,01
01,7,<,01
01, ,>,02
02,0, ,03
03, ,>,04
04,0,>,04
04,1,>,04
04,2,>,04
04,3,>,04
04,4,>,04
04,5,>,04
04,6,>,04
04,7,>,04
04, ,>,05
05,0,>,05
05,1,>,05
05,2,>,05
05,3,>,05
05,4,>,05
05,5,>,05
05,6,>,05
05,7,>,05
05, ,0,06
06,0,>,07
07, ,0,08
08,0,>,09
09, ,0,10
10,0,<,10
10,1,<,10
10, ,<,11
11,0,<,11
11,1,<,11
11,2,<,11
11,3,<,11
11,4,<,11
11,5,<,11
11,6,<,11
11,7,<,11
11, ,0,12
12,0,>,02
02,1, ,20
20, ,>,21
21,0,>,21
21,1,>,21
21,2,>,21
21,3,>,21
21,4,>,21
21,5,>,21
21,6,>,21
21,7,>,21
21, ,>,22
22,0,>,22
22,1,>,22
22,2,>,22
22,3,>,22
22,4,>,22
22,5,>,22
22,6,>,22
22,7,>,22
22, ,0,23
23,0,>,24
24, ,0,25
25,0,>,26
26, ,1,27
27,0,<,27
27,1,<,27
27, ,<,28
28,0,<,28
28,1,<,28
28,2,<,28
28,3,<,28
28,4,<,28
28,5,<,28
28,6,<,28
28,7,<,28
28, ,1,29
29,1,>,02
02,2, ,30
30, ,>,31
31,0,>,31
31,1,>,31
31,2,>,31
31,3,>,31
31,4,>,31
31,5,>,31
31,6,>,31
31,7,>,31
31, ,>,32
32,0,>,32
32,1,>,32
32,2,>,32
32,3,>,32
32,4,>,32
32,5,>,32
32,6,>,32
32,7,>,32
32, ,0,33
33,0,>,34
34, ,1,35
35,1,>,36
36, ,0,37
37,0,<,37
37,1,<,37
37, ,<,38
38,0,<,38
38,1,<,38
38,2,<,38
38,3,<,38
38,4,<,38
38,5,<,38
38,6,<,38
38,7,<,38
38, ,2,39
39,2,>,02
02,3, ,40
40, ,>,41
41,0,>,41
41,1,>,41
41,2,>,41
41,3,>,41
41,4,>,41
41,5,>,41
41,6,>,41
41,7,>,41
41, ,>,42
42,0,>,42
42,1,>,42
42,2,>,42
42,3,>,42
42,4,>,42
42,5,>,42
42,6,>,42
42,7,>,42
42, ,0,43
43,0,>,44
44, ,1,45
45,1,>,46
46, ,1,47
47,0,<,47
47,1,<,47
47, ,<,48
48,0,<,48
48,1,<,48
48,2,<,48
48,3,<,48
48,4,<,48
48,5,<,48
48,6,<,48
48,7,<,48
48, ,3,49
49,3,>,02
02,4, ,50
50, ,>,51
51,0,>,51
51,1,>,51
51,2,>,51
51,3,>,51
51,4,>,51
51,5,>,51
51,6,>,51
51,7,>,51
51, ,>,52
52,0,>,52
52,1,>,52
52,2,>,52
52,3,>,52
52,4,>,52
52,5,>,52
52,6,>,52
52,7,>,52
52, ,1,53
53,1,>,54
54, ,0,55
55,0,>,56
56, ,0,57
57,0,<,57
57,1,<,57
57, ,<,58
58,0,<,58
58,1,<,58
58,2,<,58
58,3,<,58
58,4,<,58
58,5,<,58
58,6,<,58
58,7,<,58
58, ,4,59
59,4,>,02
02,5, ,60
60, ,>,61
61,0,>,61
61,1,>,61
61,2,>,61
61,3,>,61
61,4,>,61
61,5,>,61
61,6,>,61
61,7,>,61
61, ,>,62
62,0,>,62
62,1,>,62
62,2,>,62
62,3,>,62
62,4,>,62
62,5,>,62
62,6,>,62
62,7,>,62
62, ,1,63
63,1,>,64
64, ,0,65
65,0,>,66
66, ,1,67
67,0,<,67
67,1,<,67
67, ,<,68
68,0,<,68
68,1,<,68
68,2,<,68
68,3,<,68
68,4,<,68
68,5,<,68
68,6,<,68
68,7,<,68
68, ,5,69
69,5,>,02
02,6, ,70
70, ,>,71
71,0,>,71
71,1,>,71
71,2,>,71
71,3,>,71
71,4,>,71
71,5,>,71
71,6,>,71
71,7,>,71
71, ,>,72
72,0,>,72
72,1,>,72
72,2,>,72
72,3,>,72
72,4,>,72
72,5,>,72
72,6,>,72
72,7,>,72
72, ,1,73
73,1,>,74
74, ,1,75
75,1,>,76
76, ,0,77
77,0,<,77
77,1,<,77
77, ,<,78
78,0,<,78
78,1,<,78
78,2,<,78
78,3,<,78
78,4,<,78
78,5,<,78
78,6,<,78
78,7,<,78
78, ,6,79
79,6,>,02
02,7, ,80
80, ,>,81
81,0,>,81
81,1,>,81
81,2,>,81
81,3,>,81
81,4,>,81
81,5,>,81
81,6,>,81
81,7,>,81
81, ,>,82
82,0,>,82
82,1,>,82
82,2,>,82
82,3,>,82
82,4,>,82
82,5,>,82
82,6,>,82
82,7,>,82
82, ,1,83
83,1,>,84
84, ,1,85
85,1,>,86
86, ,1,87
87,0,<,87
87,1,<,87
87, ,<,88
88,0,<,88
88,1,<,88
88,2,<,88
88,3,<,88
88,4,<,88
88,5,<,88
88,6,<,88
88,7,<,88
88, ,7,89
89,7,>,02
02, ,>,90
90,0, ,91
90,1,1,108
91, ,>,92
92,0, ,91
92, ,0,94
92,1,>,93
93,0,>,93
93,1,>,93
93, ,<,94
94,0,<,94
94,1,<,94
94, ,<,95
95, ,>,96
96, ,>,97
97, ,<,106
106, , ,93
97,0, ,98
98, ,<,99
99, ,0,100
100,0,>,101
101, , ,96
97,1, ,102
102, ,<,103
103, ,1,104
104,1,>,105
105, ,>,97
95,0,>,107
95,1,>,107
95,2,>,107
95,3,>,107
95,4,>,107
95,5,>,107
95,6,>,107
95,7,>,107
107, ,>,108
108,0,>,108
108,1,>,108
108, , ,108
